(db@acl)
(db@cainiao_nc_boss)
(db@cainiao_network_data)
(db@cainiao_ofc)
(db@cainiao_oic_inv)
(db@cainiao_oic_inventory)
(db@cainiao_onemetric)
(db@cainiao_opk)
(db@cainiao_oversea)
(db@cainiao_pac)
(db@cainiao_pac_basic)
(db@cainiao_payment)
(db@cainiao_pickup_m)
(db@cainiao_pingjia)
(db@cainiao_plan)
(db@cainiao_plover_gather)
(db@cainiao_plover_gather_basic)
(db@cainiao_plugin_manager)
(db@cainiao_pms)
(db@cainiao_pms_property)
(db@cainiao_postman)
(db@cainiao_print)
(db@cainiao_print_oversea)
(db@cainiao_print_oversea_sg_stg)
(db@cainiao_prism)
(db@cainiao_privs)
(db@cainiao_promise)
(db@cainiao_pscmbase)
(db@cainiao_pscmbill)
(db@cainiao_pscmdop)
(db@cainiao_pscmihdp)
(db@cainiao_pubaccount)
(db@cainiao_pubaccount_m)
(db@cainiao_purchase)
(db@cainiao_qa)
(db@cainiao_receiver_core)
(db@cainiao_rent)
(db@cainiao_res)
(db@cainiao_res_plus)
(db@cainiao_routing)
(db@cainiao_rs)
(db@cainiao_ruleengine)
(db@cainiao_scada_cloud)
(db@cainiao_scd)
(db@cainiao_scf)
(db@cainiao_scf_product)
(db@cainiao_secplatform)
(db@cainiao_sequence)
(db@cainiao_sequence_oversea)
(db@cainiao_service_base)
(db@cainiao_sign_behavior)
(db@cainiao_simu)
(db@cainiao_simu_data)
(db@cainiao_slotting)
(db@cainiao_smartdelivery)
(db@cainiao_smartdelivery_order)
(db@cainiao_sms)
(db@cainiao_sms_pra)
(db@cainiao_sms_prac)
(db@cainiao_sms_practice)
(db@cainiao_snowland)
(db@cainiao_sorting)
(db@cainiao_src_db)
(db@cainiao_station)
(db@cainiao_station_basic)
(db@cainiao_station_opcenter)
(db@cainiao_station_pay)
(db@cainiao_station_pay_basic)
(db@cainiao_stationdata)
(db@cainiao_stats)
(db@cainiao_stats_whole)
(db@cainiao_support)
(db@cainiao_sx_dabao_server)
(db@cainiao_sx_dabao_server_meta)
(db@cainiao_terminal)
(db@cainiao_tetris)
(db@cainiao_tg)
(db@cainiao_tg_rpc)
(db@cainiao_tg_rpc_s)
(db@cainiao_tms_alerts)
(db@cainiao_tms_connect)
(db@cainiao_tms_css)
(db@cainiao_tms_customer)
(db@cainiao_tms_das)
(db@cainiao_tms_das_common)
(db@cainiao_tms_de)
(db@cainiao_tms_decision)
(db@cainiao_tms_dms_automation)
(db@cainiao_tms_dms_automation_sig_oversea)
(db@cainiao_tms_dpr)
(db@cainiao_tms_monitorx_gps)
(db@cainiao_tms_order)
(db@cainiao_tms_practice)
(db@cainiao_tms_prediction)
(db@cainiao_tms_sms_rep)
(db@cainiao_tms_stats)
(db@cainiao_tms_tda)
(db@cainiao_tms_waybill)
(db@cainiao_tms_waybillin)
(db@cainiao_tmsbasic)
(db@cainiao_tmsroute)
(db@cainiao_tmstcp)
(db@cainiao_tpl)
(db@cainiao_trans)
(db@cainiao_ucs_base)
(db@cainiao_ucs_ccs_asrs)
(db@cainiao_ucs_ccs_monitor)
(db@cainiao_ucs_ccs_sorter)
(db@cainiao_ucs_runtime)
(db@cainiao_uop)
(db@cainiao_user)
(db@cainiao_user_oversea)
(db@cainiao_user_relationship)
(db@cainiao_user_sg_stg)
(db@cainiao_user_strategy)
(db@cainiao_vendor)
(db@cainiao_vendor_p)
(db@cainiao_vsp)
(db@cainiao_waybill)
(db@cainiao_waybill_basic)
(db@cainiao_waybill_basic_oversea)
(db@cainiao_waybill_basic_xcluster)
(db@cainiao_waybill_magneto)
(db@cainiao_waybill_oversea)
(db@cainiao_waybill_oversea_sh)
(db@cainiao_waybill_xcluster)
(db@cainiao_wha)
(db@cainiao_whc)
(db@cainiao_whc_databot)
(db@cainiao_whc_oversea)
(db@cainiao_whc_sg_stg)
(db@cainiao_wireless)
(db@cainiao_wireless_market)
(db@cainiao_wireless_market_single)
(db@cainiao_wmp_calculation)
(db@cainiao_wmp_calculation_oversea)
(db@cainiao_wmp_control)
(db@cainiao_wmp_data)
(db@cainiao_wmp_data_oversea)
(db@cainiao_wmp_data_sg_stg)
(db@cainiao_wmp_fx)
(db@cainiao_wmp_gateway_sg_stg)
(db@cainiao_wmp_inner)
(db@cainiao_wmp_inner_oversea)
(db@cainiao_wmp_inner_sg_stg)
(db@cainiao_wmp_input)
(db@cainiao_wmp_input_oversea)
(db@cainiao_wmp_input_sg_stg)
(db@cainiao_wmp_inventories)
(db@cainiao_wmp_inventories_oversea)
(db@cainiao_wmp_inventories_sg_stg_app)
(db@cainiao_wmp_order)
(db@cainiao_wmp_order_oversea)
(db@cainiao_wmp_order_sg_stg_app)
(db@cainiao_wmp_outbound)
(db@cainiao_wmp_outbound_oversea)
(db@cainiao_wmp_outbound_sg_stg)
(db@cainiao_wmp_space)
(db@cainiao_wmp_sym)
(db@cainiao_wmp_wg)
(db@cainiao_wmp_wg_oversea)
(db@cainiao_wmp_wl)
(db@cainiao_wmp_wl_oversea)
(db@cainiao_wmphup)
(db@cainiao_wms_basic)
(db@cainiao_wms_basic_oversea)
(db@cainiao_wms_basic_sg_stg)
(db@cainiao_workbench_globaladdressdata)
(db@cainiao_workflow)
(db@cainiao_wp)
(db@cainiao_wpg)
(db@cainiao_wrc)
(db@cainiao_wrc_oversea)
(db@cainiao_wrc_sg_stg)
(db@cainiao_wrs_dump)
(db@cainiao_xc_chengyun)
(db@cainiao_yima)
(db@cainiao_yms)
(db@capital)
(db@cargo)
(db@catch)
(db@cater)
(db@cbu_abpm)
(db@cbu_acrm)
(db@cbu_ali_relation)
(db@cbu_appbusiness)
(db@cbu_blog)
(db@cbu_cms)
(db@cbu_creative)
(db@cbu_da_dihu)
(db@cbu_dcms)
(db@cbu_enroll_new)
(db@cbu_fengying)
(db@cbu_gembone)
(db@cbu_giza)
(db@cbu_go_birdsnest)
(db@cbu_hd_widgetpt)
(db@cbu_ibank)
(db@cbu_ichoose)
(db@cbu_iform)
(db@cbu_indust_union)
(db@cbu_insurance)
(db@cbu_kucun)
(db@cbu_leads)
(db@cbu_lemon)
(db@cbu_manufact)
(db@cbu_material)
(db@cbu_mbc)
(db@cbu_micro_supply)
(db@cbu_microsupply_sub)
(db@cbu_msc)
(db@cbu_myhome)
(db@cbu_nebula)
(db@cbu_nebulabody)
(db@cbu_obms)
(db@cbu_order)
(db@cbu_osap)
(db@cbu_protect)
(db@cbu_pwfmerchant)
(db@cbu_quake)
(db@cbu_quotacenter)
(db@cbu_rights)
(db@cbu_rtd)
(db@cbu_rule)
(db@cbu_seller_library)
(db@cbu_settle)
(db@cbu_sm_records)
(db@cbu_snswidget)
(db@cbu_tag)
(db@cbu_tp)
(db@cbu_trade)
(db@cbu_trade_unit)
(db@cbu_trade_wolf)
(db@cbu_uadp_ad)
(db@cbu_widgetpt)
(db@cbu_wireless)
(db@cbu_wireless_wcc)
(db@cbu_wl)
(db@cbu_wl_biz)
(db@cbu_work)
(db@cbu_yanlong)
(db@cburate)
(db@cbuump)
(db@cco_alibao_label)
(db@cco_awakewood)
(db@cco_case_act)
(db@cco_info_extend)
(db@cco_link)
(db@cco_osp_case)
(db@cco_rt)
(db@cco_shark)
(db@cco_suitrules)
(db@cco_xengine)
(db@cco_xspace_im)
(db@cco_xspace_session)
(db@cco_xspace_workshift)
(db@ccocms)
(db@ccoodin)
(db@chongzhi_batch)
(db@chongzhi_meta)
(db@chongzhi_meta_copy)
(db@chset_app)
(db@cic)
(db@cio_lzconflict)
(db@cio_lzcop)
(db@cio_nazca_dev)
(db@cio_risk)
(db@cio_sharded_bpms)
(db@cio_unum)
(db@cio_work_mc)
(db@circle)
(db@cloud_bridge)
(db@cloud_call)
(db@cloudcmdb)
(db@clouddata_primary)
(db@codecenter)
(db@collocation)
(db@company)
(db@companyweb)
(db@compen)
(db@complaints)
(db@containerization)
(db@cpms_server)
(db@cpssettle)
(db@creditcenter)
(db@crm_aegean)
(db@crm_case)
(db@crm_caseplatform)
(db@crm_ctao)
(db@crm_cuntao)
(db@crm_cuntaoar)
(db@crm_dowjones)
(db@crm_ivr)
(db@crm_ivy)
(db@crm_message)
(db@crm_noah_mysql)
(db@crm_rio_mysql)
(db@crmcn)
(db@crmeve)
(db@crmeve_channel)
(db@crmg)
(db@crms)
(db@cro_qd)
(db@cro_umid)
(db@cuntao_decision)
(db@cuntao_misc)
(db@cuntao_mob_push)
(db@cuntao_mobile)
(db@cuntao_supplier)
(db@cuntao_supplier_body)
(db@cuntao_work_mob)
(db@cuntaoar_dump)
(db@da_cp)
(db@da_cuntao)
(db@da_finance)
(db@dada)
(db@daren)
(db@darwin)
(db@data)
(db@dataservice)
(db@dc_params)
(db@ddbase)
(db@ddorder)
(db@dds)
(db@ddseller)
(db@deepocean_xiaoqu)
(db@degtasknew)
(db@deploy_brain)
(db@detail)
(db@deylb)
(db@dreamworks)
(db@dtc_meta)
(db@durex)
(db@dw_meta)
(db@dw_meta_dev)
(db@dwuc)
(db@dynamiccenter)
(db@easygo)
(db@ebay_transform)
(db@ecard)
(db@ecard_meta)
(db@eco_ych)
(db@editor_user)
(db@emumo)
(db@emumo_task)
(db@envcenter)
(db@etao_haitao)
(db@etao_huati)
(db@etao_message)
(db@etaotrace)
(db@eticket)
(db@executor)
(db@falconr_biz)
(db@fang_order)
(db@fangxintao)
(db@fee)
(db@feedback)
(db@feedback_web)
(db@feel)
(db@feel_misc)
(db@fivemin)
(db@fundcenter)
(db@fundunit)
(db@fuwu)
(db@fuwu_buyshow)
(db@fuwu_goods)
(db@fuwu_single_buyshow)
(db@fuwu_utils)
(db@fwb)
(db@galicdb)
(db@gds)
(db@gds_fare)
(db@gds_fare_inc)
(db@gds_inter_policy)
(db@globalbuys)
(db@gmisc)
(db@go_bops)
(db@go_centi)
(db@go_yeti)
(db@gov_bid)
(db@govern_platform_new)
(db@gseller)
(db@gx_data)
(db@havana)
(db@havana_us)
(db@hdorder)
(db@health_process)
(db@healthbb)
(db@healthcenter)
(db@hema_matrix)
(db@histore_b)
(db@histore_bb_birdsnest)
(db@histore_bb_risk)
(db@histore_bpd_ratedt)
(db@histore_cainiao_wuliu)
(db@histore_yewu_anquan)
(db@hj_finance)
(db@hjbill)
(db@hjbill_cn)
(db@hjbill_zyd)
(db@hjgateway)
(db@hmdata)
(db@hotel)
(db@hotel_bsd)
(db@hotel_ebk)
(db@hotel_hars)
(db@hotel_hbc_global)
(db@hotel_hcrm)
(db@hotel_hds)
(db@hotel_hta)
(db@hotel_htq)
(db@hotel_huc)
(db@hotel_ic)
(db@hotel_ic_general)
(db@hotel_intl)
(db@hotel_sd)
(db@hotel_se)
(db@hotel_security)
(db@hotel_seller)
(db@hotel_traceorder)
(db@hotel_tradesplit)
(db@hotelpromotion)
(db@hoteltrade)
(db@hrsys)
(db@hsfops_db)
(db@ibanktask)
(db@ic_kami)
(db@ic_misc)
(db@ic_seller)
(db@ic_snap)
(db@icbu_da_pbserver)
(db@icbu_finance)
(db@icbu_financepay)
(db@icbu_market)
(db@icbu_ocean)
(db@icbu_photobank)
(db@icbu_promotion)
(db@icbu_rfq_buyer)
(db@icbu_uic)
(db@icbu_uic_comm)
(db@idle_auctions)
(db@idt)
(db@ie)
(db@iecp)
(db@ieo)
(db@ifd)
(db@ifdx)
(db@im_wx_offmsg)
(db@ins_platform)
(db@insight)
(db@int_shipping)
(db@interests_order)
(db@intl_store)
(db@intl_toc)
(db@intl_tocs)
(db@intl_wl)
(db@inv_monitor)
(db@inv_schedule)
(db@invoice)
(db@invoice_s)
(db@ipc)
(db@irecom_db)
(db@iselect_tag)
(db@isv_item_center)
(db@item_process)
(db@itu_db)
(db@jiaju)
(db@jr_daikou)
(db@jr_mgw)
(db@jr_xbc)
(db@jstinventory)
(db@jtbas)
(db@ju)
(db@ju_count)
(db@ju_data)
(db@ju_freeway)
(db@ju_ic_misc)
(db@ju_item_order)
(db@ju_matrix)
(db@ju_mer_data)
(db@ju_punish)
(db@ju_push)
(db@ju_quality)
(db@ju_seller)
(db@ju_tc)
(db@ju_teadmin)
(db@ju_toc)
(db@juasst)
(db@judatasearch)
(db@juwl)
(db@juwuba)
(db@jwb_online)
(db@kelude_aps)
(db@kelude_cloud)
(db@knowledge)
(db@kuaizhao)
(db@lassendb)
(db@lg_basic)
(db@lg_data)
(db@lg_post_fee)
(db@lg_seller)
(db@lg_work)
(db@lifemall)
(db@lifemarketing)
(db@lifeservice)
(db@lippi_activity)
(db@lippi_app_store)
(db@lippi_atc)
(db@lippi_atc_extend)
(db@lippi_bi)
(db@lippi_billing)
(db@lippi_biz)
(db@lippi_blackboard)
(db@lippi_call)
(db@lippi_callapp)
(db@lippi_certify)
(db@lippi_conf)
(db@lippi_conference)
(db@lippi_crm)
(db@lippi_cs_tree)
(db@lippi_csconfig)
(db@lippi_device)
(db@lippi_dingflow)
(db@lippi_dingpanbackend)
(db@lippi_friend)
(db@lippi_hrmregister)
(db@lippi_im)
(db@lippi_industry)
(db@lippi_leave)
(db@lippi_login)
(db@lippi_marketing)
(db@lippi_marketing_sharding)
(db@lippi_microapp)
(db@lippi_oapi)
(db@lippi_oauths)
(db@lippi_omp)
(db@lippi_open_dev)
(db@lippi_org)
(db@lippi_org_ext)
(db@lippi_pay)
(db@lippi_pdp)
(db@lippi_pstn)
(db@lippi_push)
(db@lippi_quota)
(db@lippi_report)
(db@lippi_safe)
(db@lippi_user)
(db@lippi_user_split)
(db@lippi_vdata)
(db@lippi_workreport)
(db@lippi_wr_mul)
(db@live)
(db@localstore)
(db@logistics)
(db@logistics_aries)
(db@logistics_order)
(db@logistics_report)
(db@lottery_raffle)
(db@lottery_wangcai)
(db@lpsecurity)
(db@lst_lsttrade)
(db@ltpp_task)
(db@ltpp_ticket)
(db@macenter)
(db@maiba)
(db@mc_general)
(db@media_ref)
(db@memberclub)
(db@micro_linkstore)
(db@micro_taobao)
(db@minerva)
(db@misc_config)
(db@mkt)
(db@mkt_core)
(db@mkt_retail)
(db@mkt_tmall)
(db@mktcoupon)
(db@mktcoupon_unit)
(db@mktcoupon_unit_retail)
(db@mktpro)
(db@mktpro_misc)
(db@mktpro_retail)
(db@mkttb)
(db@mkttb_misc)
(db@mkttb_retail)
(db@mmp)
(db@mmsgw_sh)
(db@mobile)
(db@mobile_common)
(db@mobile_promotion)
(db@mtee)
(db@multiprice)
(db@muse)
(db@mycart)
(db@mysize)
(db@new_panama_data)
(db@nextone)
(db@nextone_active)
(db@nextone_qn)
(db@nextone_qn_active)
(db@ng_open)
(db@nlife)
(db@nlifeic)
(db@oc)
(db@oc_analysis)
(db@oc_biz)
(db@ocg)
(db@ocndb)
(db@ocs)
(db@ocs_unit)
(db@offer)
(db@offerother)
(db@offert)
(db@omni_pos)
(db@onepiece_cloud)
(db@oneservice)
(db@open_account)
(db@open_account_lite)
(db@open_device)
(db@ot_cny)
(db@ot_hermes)
(db@ot_minos)
(db@ot_plutus)
(db@pamirs)
(db@pamirs_sep)
(db@panama_request_lifecycle)
(db@payments)
(db@pc)
(db@pcdb)
(db@pentaprism_config)
(db@pentaprism_record)
(db@pf_rcenter)
(db@phenix)
(db@phonests_basic)
(db@phonests_event)
(db@pic_misc)
(db@pirate_record)
(db@place)
(db@prepay)
(db@product_center)
(db@product_detail)
(db@product_stage)
(db@pserver)
(db@pspdb)
(db@qianjin)
(db@qiankun)
(db@qiankun_biz)
(db@qianniu_platform)
(db@qimen_statistics)
(db@qogir)
(db@qp_punish)
(db@rcenter)
(db@realtime)
(db@rebate)
(db@recommendation)
(db@refund)
(db@reservehealth)
(db@rhine)
(db@rings_towers)
(db@risk_decision)
(db@rowan)
(db@rp)
(db@rp_action)
(db@rp_buyer)
(db@rp_seller)
(db@rsp)
(db@salmon)
(db@salween)
(db@sampool)
(db@sc_da_pbserver)
(db@sc_data_bus)
(db@sc_item_selection)
(db@sc_mht_trade)
(db@sc_mobile)
(db@sc_mop_chn)
(db@sc_product)
(db@scm_center)
(db@scm_settle)
(db@scmitem)
(db@scmorder)
(db@scmplan)
(db@scmrbac)
(db@scrm)
(db@scrm_core)
(db@scrm_relation)
(db@security_center)
(db@seller_center)
(db@service_platform)
(db@serviceplatform)
(db@shark_ds)
(db@sheep)
(db@shop_cbu)
(db@shop_cbu_base)
(db@shop_decorate)
(db@si_everest)
(db@simba_ad)
(db@simba_portal)
(db@simbauic)
(db@site)
(db@site_main)
(db@site_misc)
(db@skynetcenter_single)
(db@sm)
(db@smeta)
(db@snscoin)
(db@snscoin_copy)
(db@snscoincore)
(db@snscomment)
(db@snsexchange)
(db@snsju)
(db@snsju_misc)
(db@snsuser)
(db@solar_jupiter_p)
(db@solar_mercury_g)
(db@solar_mercury_p)
(db@solar_venus_g)
(db@sop)
(db@spu)
(db@spu_center)
(db@stanley)
(db@steins_core)
(db@stlact)
(db@stlunion)
(db@subway_g)
(db@subway_p)
(db@subway_seq)
(db@supermario)
(db@supplierchannel)
(db@svideo)
(db@takeout)
(db@takeout_new)
(db@taobao_diandian)
(db@taobao_shaixuan)
(db@taobao_tejia)
(db@taobaosettle)
(db@taogame)
(db@taojie)
(db@taoke)
(db@taskcenter)
(db@tb_apassclub)
(db@tb_auctioncommon)
(db@tb_auctioncore)
(db@tb_bidatc)
(db@tb_irobot)
(db@tb_irobot_unit)
(db@tb_juba)
(db@tb_life_isv_groupon_instances)
(db@tb_life_isv_groupon_joins)
(db@tb_ruledata)
(db@tb_shark)
(db@tb_spiritbomb)
(db@tb_spiritbomb_ex)
(db@tbalive)
(db@tbcharity)
(db@tbchatting)
(db@tbchattinglogic)
(db@tbcrm)
(db@tbcrm_ds_olap)
(db@tbcrmbu)
(db@tbgame_order)
(db@tbguang)
(db@tbheracles)
(db@tbidle_auctions)
(db@tbidle_feeds)
(db@tbidle_message)
(db@tbkingtower)
(db@tblife)
(db@tblife_fav)
(db@tblife_order_aoi)
(db@tblife_order_status)
(db@tblife_waimai_core)
(db@tblife_waimai_delivery)
(db@tblife_waimai_voucher)
(db@tboss)
(db@tbqogir_action)
(db@tbrac)
(db@tbsapi)
(db@tbshop)
(db@tbshop_misc)
(db@tbshop_sites)
(db@tbtce_dump)
(db@tbtemai)
(db@tbtoop)
(db@tbtrademonitor)
(db@tbtry)
(db@tbtry_extra)
(db@tbwiki)
(db@tc)
(db@tcbuyer)
(db@tcmisc)
(db@tcp)
(db@tcp_new)
(db@tcpoint)
(db@tcroute)
(db@tdream)
(db@thvideo)
(db@tk_track_cach)
(db@tk_track_cache)
(db@tkc)
(db@tkm)
(db@tkm_code)
(db@tkmn)
(db@tkp)
(db@tku)
(db@tm_bbqnew_rule)
(db@tm_saleforecast)
(db@tm_scm_categoryplan)
(db@tm_scm_inventory)
(db@tm_scm_purchase)
(db@tm_scmsupplier)
(db@tmall)
(db@tmall_actcenter)
(db@tmall_apollo)
(db@tmall_arena)
(db@tmall_atlas)
(db@tmall_b)
(db@tmall_baby)
(db@tmall_barbecue)
(db@tmall_barbecue_copy)
(db@tmall_barrett)
(db@tmall_bbq_info_dump)
(db@tmall_bcoc)
(db@tmall_bcps)
(db@tmall_beauty)
(db@tmall_bfp)
(db@tmall_bfp_read)
(db@tmall_bfp_write)
(db@tmall_boxster)
(db@tmall_brand_crm)
(db@tmall_caitlin)
(db@tmall_cams)
(db@tmall_carcenter)
(db@tmall_delta)
(db@tmall_demeter)
